nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0021652,Ravi Alluri,\N,\N,director,"tt0246187,tt0246049"
nm0021653,Earl Allvine,\N,\N,"director,editor","tt0954353,tt1144461,tt0249942,tt0034213"
nm0021654,Bob Allward,\N,\N,editorial_department,tt0214602
nm0021655,Pernilla Allwin,1970,\N,actress,"tt0083922,tt6725158,tt0319505"
nm0021656,Wayne Allwine,1947,2009,"actor,sound_department,soundtrack","tt0098382,tt0078869,tt0093260,tt0096438"
nm0021657,Frederick Allwood,\N,\N,writer,tt0195950
nm0021658,Lucy Allwood,\N,\N,"writer,miscellaneous,producer","tt4106306,tt1753584,tt1692227,tt1495823"
nm0021659,Matthew Allwork,1963,2003,camera_department,"tt0109836,tt0208234,tt0097576,tt0100928"
nm0021660,Peter Allwork,1925,2004,"camera_department,assistant_director","tt0090264,tt0097576,tt0078346,tt0086006"
nm0021661,Frank Allworth,1882,1935,actor,"tt0010945,tt0015116,tt0016420,tt0017841"
nm0021662,Margaret Allworthy,1928,\N,actress,"tt0048646,tt0040918,tt1273247,tt0050525"
nm0021663,Christophe Allwright,\N,\N,actor,"tt0085213,tt0172027,tt0090052,tt0116280"
nm0021664,Eric Allwright,1925,2021,make_up_department,"tt0093428,tt0082398,tt0086034,tt0090264"
nm0021665,Graeme Allwright,1926,2020,"soundtrack,composer,actor","tt0253470,tt0120835,tt3488710,tt0098238"
nm0021666,Gregg Allwright,\N,\N,actor,tt0093918
nm0021667,Astrid Allwyn,1905,1978,actress,"tt0031679,tt0027630,tt0030273,tt0031593"
nm0021668,Millicent Ally,\N,\N,"actress,writer","tt0367608,tt0206405,tt0246989,tt3970674"
nm0021669,Vicki Ally,\N,\N,miscellaneous,"tt0106123,tt0105321"
nm0021670,Alice Allyn,1929,1976,actress,"tt0072471,tt0053142,tt0052463,tt0047758"
nm0021671,Arthur Allyn,\N,\N,art_department,"tt0112817,tt0114885"
nm0021672,Bethany Allyn,\N,\N,actress,"tt0094574,tt0101078,tt0094540,tt0099938"
nm0021673,Bobbi Allyn,\N,\N,"set_decorator,art_department,production_designer","tt3846674,tt0384537,tt1119644,tt1264363"
nm0021674,David Allyn,\N,\N,actor,"tt0058796,tt0096534,tt0101121,tt0101320"
nm0021675,Heath Allyn,1970,\N,"actor,assistant_director,composer","tt3649180,tt0758745,tt11219168,tt13476196"
nm0021677,Mathew Allyn,\N,\N,actor,tt0223750
nm0021678,Matthew C. Allyn,\N,\N,"producer,production_manager,miscellaneous","tt0155394,tt0223750,tt1863526,tt0432648"
nm0021679,Michael Allyn,\N,\N,actor,tt0078100
nm0021680,Pete Allyn,\N,\N,"art_department,special_effects","tt0118636,tt0119094,tt0119791"
nm0021681,Rob Allyn,\N,\N,"actor,executive","tt0380000,tt1418824,tt0141926"
nm0021682,Robin Allyn,\N,\N,actor,"tt0089652,tt0088326"
nm0021683,Sandra Smith Allyn,1943,\N,"writer,actress,producer","tt0111270,tt10595194,tt0078638,tt0082992"
nm0021684,Tobi Allyn,\N,\N,"stunts,actress","tt0107076,tt0081930,tt0073972,tt0117331"
nm0021685,Tony Allyn,\N,\N,actor,"tt0068114,tt0129685,tt0078333,tt0072209"
nm0021686,Wendy Allyn,\N,\N,"actress,costume_department,producer","tt0238784,tt1146283,tt0065272,tt0448901"
nm0021687,William Allyn,1927,1999,"producer,actor,director","tt0086450,tt0097116,tt0082992,tt0057779"
nm0021688,Barbara Allyne Bennet,1937,2016,"actress,miscellaneous,casting_department","tt0089702,tt0088594,tt0095560,tt0077011"
nm0021689,Dana Allyson,\N,\N,"costume_designer,costume_department,production_manager","tt0113394,tt0104922,tt0113749,tt0114194"
nm0021690,Jane Allyson,\N,\N,actress,"tt3590060,tt0125148,tt0067145"
nm0021691,Catherine Allégret,1946,\N,"actress,writer","tt0450188,tt0070849,tt0096658,tt0059050"
nm0021692,Mahatman Allür,\N,\N,"miscellaneous,visual_effects","tt0156688,tt0156558,tt0156686"
nm0021693,Anette Alm,\N,\N,actress,tt0272713
nm0021694,Carl-Olof Alm,1925,1996,"actor,soundtrack","tt0094493,tt0166642,tt0057119,tt0087677"
nm0021695,Celeste Alm,1942,\N,actress,tt0059351
nm0021696,Geoffrey Alm,\N,\N,"actor,miscellaneous","tt0230877,tt3103442,tt0357686,tt0247097"
nm0021697,Birgitta Alm,1937,\N,"actress,producer","tt0204079,tt12788422,tt29932163"
nm0021698,Gösta Alm,\N,\N,actor,tt0056540
nm0021699,Jerry Alm,\N,\N,art_department,"tt0115282,tt0159161,tt0194600,tt0324875"
nm0021700,Lennart Alm,\N,\N,"writer,producer",tt0057601
nm0021701,Malin Alm,\N,\N,actress,"tt1790954,tt0083016,tt31065083,tt17521418"
nm0021702,Nils Alm,\N,\N,actor,tt0038468
nm0021703,Patrik Alm,\N,\N,actor,tt0118402
nm0021705,Sören Alm,1920,2016,actor,"tt6962464,tt0217938,tt0249290,tt6278546"
nm0021706,Henny Alma,1923,2006,"actress,soundtrack","tt0068737,tt0076734,tt0075784,tt0072994"
nm0021707,Inés Alma,\N,\N,actress,"tt0056328,tt6055830,tt0060685"
nm0021708,Marian Alma,1860,1945,actor,"tt0212954,tt7328422,tt1247806,tt0137865"
nm0021709,María Alma,\N,\N,"soundtrack,music_department","tt0244168,tt0050943,tt0254765,tt1547891"
nm0021710,Quetcy Alma,\N,\N,actress,tt0065162
nm0021711,Jon Almaas,1967,\N,"actor,editorial_department,writer","tt0283800,tt4075460,tt3138102,tt7351242"
nm0021712,José María Almacellas,\N,\N,actor,tt0116193
nm0021713,Jorge Almada Jr.,\N,\N,actor,tt0265607
nm0021714,Anita Almada,\N,\N,actress,"tt0299763,tt7326574,tt0203429,tt0198421"
nm0021715,Auristela Almada,\N,\N,actress,tt0119938
nm0021716,Daniel Almada,\N,\N,"assistant_director,miscellaneous","tt0108597,tt0105930,tt0120746,tt0114485"
nm0021717,Enrique Almada,1935,1990,"actor,writer","tt0083776,tt0168893,tt0299316,tt0193572"
nm0021718,Fernando Almada,1929,2023,"actor,writer,director","tt0322527,tt0311969,tt0378535,tt0217670"
nm0021719,Horacio Almada,1968,\N,"sound_department,actor,producer","tt1568816,tt0234295,tt0303267,tt0432978"
nm0021720,Izaías Almada,\N,\N,"writer,actor,assistant_director","tt0114452,tt1029427,tt0101335,tt0210971"
nm0021721,Joana Almada,\N,\N,actress,"tt0242195,tt0218750,tt0207906,tt0137316"
