MovieID,budget,company,companyID,country,director,genre,gross,Movie,rating,Released Date,runtime,score,Actor,votes,writer,year
Oz the Great and PowerfulJames Franco2013,215000000,Walt Disney Pictures,Walt Disney PicturesUSA,USA,Sam Raimi,Adventure,234911825,Oz the Great and Powerful,PG,3/8/2013,130,6.3,James Franco,183680,Mitchell Kapner,2013
AdoreNaomi Watts2013,16000000,Gaumont,GaumontAustralia,Australia,Anne Fontaine,Drama,317125,Adore,R,10/25/2013,100,6.2,Naomi Watts,26214,Anne Fontaine,2013
Monsters UniversityBilly Crystal2013,200000000,Walt Disney Pictures,Walt Disney PicturesUSA,USA,Dan Scanlon,Animation,268492764,Monsters University,G,6/21/2013,104,7.3,Billy Crystal,258992,Dan Scanlon,2013
Sólo Dios perdonaRyan Gosling2013,4800000,Space Rocket Nation,Space Rocket NationDenmark,Denmark,Nicolas Winding Refn,Crime,778565,Sólo Dios perdona,R,9/20/2013,90,5.7,Ryan Gosling,91897,Nicolas Winding Refn,2013
White House DownChanning Tatum2013,150000000,Columbia Pictures,Columbia PicturesUSA,USA,Roland Emmerich,Action,73103784,White House Down,PG-13,6/28/2013,131,6.4,Channing Tatum,176922,James Vanderbilt,2013
What IfDaniel Radcliffe2013,11000000,No Trace Camping,No Trace CampingIreland,Ireland,Michael Dowse,Comedy,3452117,What If,PG-13,8/15/2014,98,6.8,Daniel Radcliffe,57422,Elan Mastai,2013
The Best OfferGeoffrey Rush2013,0,Paco Cinematografica,Paco CinematograficaItaly,Italy,Giuseppe Tornatore,Crime,85433,The Best Offer,R,1/1/2014,131,7.8,Geoffrey Rush,81409,Giuseppe Tornatore,2013
Insidious: Chapter 2Patrick Wilson2013,5000000,FilmDistrict,FilmDistrictUSA,USA,James Wan,Horror,83586447,Insidious: Chapter 2,PG-13,9/13/2013,106,6.6,Patrick Wilson,123320,Leigh Whannell,2013
Side EffectsRooney Mara2013,30000000,Endgame Entertainment,Endgame EntertainmentUSA,USA,Steven Soderbergh,Crime,32172757,Side Effects,R,2/8/2013,106,7.1,Rooney Mara,157546,Scott Z. Burns,2013
Percy Jackson: Sea of MonstersLogan Lerman2013,90000000,Fox 2000 Pictures,Fox 2000 PicturesUSA,USA,Thor Freudenthal,Adventure,68559554,Percy Jackson: Sea of Monsters,PG,8/7/2013,106,5.9,Logan Lerman,93908,Marc Guggenheim,2013
LockeTom Hardy2013,0,IM Global,IM GlobalUK,UK,Steven Knight,Drama,1361423,Locke,R,4/18/2014,85,7.1,Tom Hardy,104599,Steven Knight,2013
RED 2Bruce Willis2013,84000000,Summit Entertainment,Summit EntertainmentUSA,USA,Dean Parisot,Action,53262560,RED 2,PG-13,7/19/2013,116,6.7,Bruce Willis,136471,Jon Hoeber,2013
Begin AgainKeira Knightley2013,8000000,Exclusive Media Group,Exclusive Media GroupUSA,USA,John Carney,Comedy,16170632,Begin Again,R,7/11/2014,104,7.4,Keira Knightley,115851,John Carney,2013
RiddickVin Diesel2013,38000000,Entertainment One,Entertainment OneUSA,USA,David Twohy,Action,42025135,Riddick,R,9/6/2013,119,6.4,Vin Diesel,134609,David Twohy,2013
The HostSaoirse Ronan2013,40000000,Chockstone Pictures,Chockstone PicturesUSA,USA,Andrew Niccol,Action,26627201,The Host,PG-13,3/29/2013,125,5.9,Saoirse Ronan,98678,Andrew Niccol,2013
FilthJames McAvoy2013,5000000,Steel Mill Pictures,Steel Mill PicturesUK,UK,Jon S. Baird,Comedy,34321,Filth,R,4/24/2014,97,7.1,James McAvoy,84261,Jon S. Baird,2013
42Chadwick Boseman2013,40000000,Warner Bros.,Warner Bros.USA,USA,Brian Helgeland,Biography,95001343,42,PG-13,4/12/2013,128,7.5,Chadwick Boseman,71006,Brian Helgeland,2013
A Good Day to Die HardBruce Willis2013,92000000,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film CorporationUSA,USA,John Moore,Action,67349198,A Good Day to Die Hard,R,2/14/2013,98,5.3,Bruce Willis,175817,Skip Woods,2013
After EarthJaden Smith2013,130000000,Columbia Pictures,Columbia PicturesUSA,USA,M. Night Shyamalan,Action,60522097,After Earth,PG-13,5/31/2013,100,4.9,Jaden Smith,169422,Gary Whitta,2013
The Way Way BackSteve Carell2013,5000000,Sycamore Pictures,Sycamore PicturesUSA,USA,Nat Faxon,Comedy,21501098,The Way Way Back,PG-13,7/26/2013,103,7.4,Steve Carell,124197,Nat Faxon,2013
47 RoninKeanu Reeves2013,175000000,H2F Entertainment,H2F EntertainmentUSA,USA,Carl Rinsch,Action,38362475,47 Ronin,PG-13,12/25/2013,119,6.3,Keanu Reeves,125778,Chris Morgan,2013
Blue JasmineCate Blanchett2013,18000000,Gravier Productions,Gravier ProductionsUSA,USA,Woody Allen,Drama,33405481,Blue Jasmine,PG-13,8/23/2013,98,7.3,Cate Blanchett,164208,Woody Allen,2013
Lee Daniels' The ButlerForest Whitaker2013,30000000,Follow Through Productions,Follow Through ProductionsUSA,USA,Lee Daniels,Biography,116632095,Lee Daniels' The Butler,PG-13,8/16/2013,132,7.2,Forest Whitaker,94884,Danny Strong,2013
HomefrontJason Statham2013,22000000,Open Road Films (II),Open Road Films (II)USA,USA,Gary Fleder,Action,19783777,Homefront,R,11/27/2013,100,6.5,Jason Statham,90430,Sylvester Stallone,2013
August: Osage CountyMeryl Streep2013,25000000,The Weinstein Company,The Weinstein CompanyUSA,USA,John Wells,Drama,37738503,August: Osage County,R,1/10/2014,121,7.2,Meryl Streep,73438,Tracy Letts,2013
Jack the Giant SlayerNicholas Hoult2013,195000000,New Line Cinema,New Line CinemaUSA,USA,Bryan Singer,Adventure,65187603,Jack the Giant Slayer,PG-13,3/1/2013,114,6.3,Nicholas Hoult,113861,Darren Lemke,2013
R.I.P.D.Ryan Reynolds2013,130000000,Universal Pictures,Universal PicturesUSA,USA,Robert Schwentke,Action,33618855,R.I.P.D.,PG-13,7/19/2013,100,5.6,Ryan Reynolds,99230,Phil Hay,2013
21 & OverMiles Teller2013,13000000,Relativity Media,Relativity MediaUSA,USA,Jon Lucas,Comedy,25682380,21 & Over,R,3/1/2013,93,5.9,Miles Teller,64737,Jon Lucas,2013
Dead Man DownColin Farrell2013,30000000,FilmDistrict,FilmDistrictUSA,USA,Niels Arden Oplev,Action,10880926,Dead Man Down,R,3/8/2013,118,6.5,Colin Farrell,57854,J.H. Wyman,2013
Inside Llewyn DavisOscar Isaac2013,11000000,CBS Films,CBS FilmsUSA,USA,Ethan Coen,Drama,13235319,Inside Llewyn Davis,R,1/10/2014,104,7.5,Oscar Isaac,109079,Joel Coen,2013
The Great BeautyToni Servillo2013,0,Indigo Film,Indigo FilmItaly,Italy,Paolo Sorrentino,Drama,2852400,The Great Beauty,NOT RATED,3/14/2014,141,7.8,Toni Servillo,63499,Paolo Sorrentino,2013
Machete KillsDanny Trejo2013,20000000,AR Films,AR FilmsRussia,Russia,Robert Rodriguez,Action,8008161,Machete Kills,R,10/11/2013,107,5.6,Danny Trejo,64085,Kyle Ward,2013
Sólo los amantes sobrevivenTilda Swinton2013,7000000,Recorded Picture Company (RPC),Recorded Picture Company (RPC)Germany,Germany,Jim Jarmusch,Comedy,1879534,Sólo los amantes sobreviven,R,4/17/2015,123,7.3,Tilda Swinton,70934,Jim Jarmusch,2013
Saving Mr. BanksEmma Thompson2013,35000000,Walt Disney Pictures,Walt Disney PicturesUSA,USA,John Lee Hancock,Biography,83301580,Saving Mr. Banks,PG-13,12/20/2013,125,7.5,Emma Thompson,128240,Kelly Marcel,2013
Identity ThiefJason Bateman2013,35000000,Aggregate Films,Aggregate FilmsUSA,USA,Seth Gordon,Comedy,134506920,Identity Thief,R,2/8/2013,111,5.7,Jason Bateman,105070,Craig Mazin,2013
TranceJames McAvoy2013,20000000,Pathé,PathéUK,UK,Danny Boyle,Crime,2319187,Trance,R,5/3/2013,101,7,James McAvoy,99164,Joe Ahearne,2013
2 GunsDenzel Washington2013,61000000,Universal Pictures,Universal PicturesUSA,USA,Baltasar Kormákur,Action,75612460,2 Guns,R,8/2/2013,109,6.7,Denzel Washington,168840,Blake Masters,2013
