nconst,primaryName,primaryProfession,tconst
nm0000511,Shirley MacLaine,writer,tt0086425
nm0000511,Shirley MacLaine,writer,tt0098384
nm0000513,William H. Macy,writer,tt0116282
nm0000513,William H. Macy,writer,tt0118749
nm0000513,William H. Macy,writer,tt0175880
nm0000514,Michael Madsen,writer,tt0266697
nm0000514,Michael Madsen,writer,tt0103074
nm0000514,Michael Madsen,writer,tt0105236
nm0000514,Michael Madsen,writer,tt0119008
nm0000517,Terrence Malick,writer,tt0478304
nm0000518,John Malkovich,writer,tt0120601
nm0000518,John Malkovich,writer,tt0107206
nm0000518,John Malkovich,writer,tt0094947
nm0000518,John Malkovich,writer,tt0887883
nm0000519,David Mamet,writer,tt0093223
nm0000519,David Mamet,writer,tt0104348
nm0000519,David Mamet,writer,tt0120202
nm0000519,David Mamet,writer,tt0120885
nm0000520,Michael Mann,writer,tt0369339
nm0000520,Michael Mann,writer,tt0083190
nm0000520,Michael Mann,writer,tt0104691
nm0000520,Michael Mann,writer,tt0140352
nm0000521,Sophie Marceau,writer,tt0143145
nm0000521,Sophie Marceau,writer,tt0112573
nm0000550,Kate Mulgrew,writer,tt0253754
nm0000550,Kate Mulgrew,writer,tt0089901
nm0000552,Eddie Murphy,writer,tt0117218
nm0000552,Eddie Murphy,writer,tt0097481
nm0000552,Eddie Murphy,writer,tt0094898
nm0000552,Eddie Murphy,writer,tt0443489
nm0000555,Judd Nelson,writer,tt0088847
nm0000555,Judd Nelson,writer,tt0090060
nm0000555,Judd Nelson,writer,tt0102526
nm0000570,Alan Parker,writer,tt0116250
nm0000570,Alan Parker,writer,tt0095647
nm0000570,Alan Parker,writer,tt0092563
nm0000575,Alexandra Paul,writer,tt0085333
nm0000575,Alexandra Paul,writer,tt0092925
nm0000583,Wolfgang Petersen,writer,tt0088323
nm0000583,Wolfgang Petersen,writer,tt0089092
nm0000583,Wolfgang Petersen,writer,tt0114069
nm0000585,Robert Picardo,writer,tt0093260
nm0000585,Robert Picardo,writer,tt0117731
nm0000586,Jada Pinkett Smith,writer,tt0120082
nm0000586,Jada Pinkett Smith,writer,tt0242653
nm0000586,Jada Pinkett Smith,writer,tt0234215
nm0000586,Jada Pinkett Smith,writer,tt0114608
nm0000588,Martha Plimpton,writer,tt0089218
nm0000588,Martha Plimpton,writer,tt0091557
nm0000588,Martha Plimpton,writer,tt0115639
nm0000591,Roman Polanski,writer,tt1139328
nm0000600,Sam Raimi,writer,tt0145487
nm0000600,Sam Raimi,writer,tt0106308
nm0000600,Sam Raimi,writer,tt0099365
nm0000600,Sam Raimi,writer,tt0083907
nm0000601,Harold Ramis,writer,tt0087332
nm0000601,Harold Ramis,writer,tt0478311
nm0000601,Harold Ramis,writer,tt0107048
nm0000601,Harold Ramis,writer,tt0083131
nm0000604,John C. Reilly,writer,tt2015381
nm0000604,John C. Reilly,writer,tt0118749
nm0000604,John C. Reilly,writer,tt0299658
nm0000607,Paul Reubens,writer,tt0089791
nm0000607,Paul Reubens,writer,tt0094744
nm0000607,Paul Reubens,writer,tt0091059
nm0000609,Ving Rhames,writer,tt0120755
nm0000609,Ving Rhames,writer,tt0163988
nm0000609,Ving Rhames,writer,tt0317919
nm0000609,Ving Rhames,writer,tt0110912
nm0000614,Alan Rickman,writer,tt0177789
nm0000614,Alan Rickman,writer,tt0095016
nm0000614,Alan Rickman,writer,tt0102798
nm0000614,Alan Rickman,writer,tt0408236
nm0000618,Isabella Rossellini,writer,tt0104070
nm0000618,Isabella Rossellini,writer,tt0106881
nm0000618,Isabella Rossellini,writer,tt0090756
nm0000620,Mickey Rourke,writer,tt1125849
nm0000620,Mickey Rourke,writer,tt0092563
nm0000620,Mickey Rourke,writer,tt1228705
nm0000626,John Sayles,writer,tt0087004
nm0000626,John Sayles,writer,tt0095082
nm0000626,John Sayles,writer,tt0116905
nm0000628,Johnathon Schaech,writer,tt0117887
nm0000632,Jerry Seinfeld,writer,tt0389790
nm0000633,Tom Selleck,writer,tt0098966
nm0000633,Tom Selleck,writer,tt0119360
nm0000635,Yahoo Serious,writer,tt0096486
nm0000638,William Shatner,writer,tt0084726
nm0000638,William Shatner,writer,tt0098382
nm0000638,William Shatner,writer,tt0088170
nm0000638,William Shatner,writer,tt0092007
nm0000644,Helen Slater,writer,tt0093936
nm0000644,Helen Slater,writer,tt0091877
nm0000644,Helen Slater,writer,tt0089470
nm0000644,Helen Slater,writer,tt0088206
nm0000656,Madeleine Stowe,writer,tt0114746
nm0000656,Madeleine Stowe,writer,tt0104691
nm0000656,Madeleine Stowe,writer,tt0144214
nm0000656,Madeleine Stowe,writer,tt0108122
nm0000658,Meryl Streep,writer,tt1322269
nm0000658,Meryl Streep,writer,tt0458352
nm0000658,Meryl Streep,writer,tt0084707
nm0000658,Meryl Streep,writer,tt0089755
nm0000666,Lili Taylor,writer,tt1457767
nm0000666,Lili Taylor,writer,tt0116594
nm0000667,David Thewlis,writer,tt0466909
nm0000667,David Thewlis,writer,tt0107653
nm0000667,David Thewlis,writer,tt1201607
nm0000667,David Thewlis,writer,tt2980516
nm0000668,Emma Thompson,writer,tt0314331
nm0000668,Emma Thompson,writer,tt0114388
nm0000668,Emma Thompson,writer,tt0107943
nm0000668,Emma Thompson,writer,tt2140373
nm0000671,Billy Bob Thornton,writer,tt0120324
nm0000671,Billy Bob Thornton,writer,tt0117666
nm0000671,Billy Bob Thornton,writer,tt0285742
nm0000672,Meg Tilly,writer,tt0085244
nm0000672,Meg Tilly,writer,tt0088683
nm0000672,Meg Tilly,writer,tt0086154
nm0000672,Meg Tilly,writer,tt0106452
nm0000674,Tamlyn Tomita,writer,tt0319262
