tconst,ordering,nconst,category,job,characters
tt0030557,3,nm0054427,actor,\N,"[""Anteo Diana""]"
tt1332399,4,nm0323140,actor,\N,"[""Various""]"
tt0427408,1,nm1758088,actor,\N,\N
tt27905706,4,nm1397594,writer,\N,\N
tt2054672,7,nm1164764,writer,story editor,\N
tt11172412,3,nm7787948,actress,\N,"[""Aakashi (third sister)""]"
tt14353112,2,nm2346644,actress,\N,\N
tt10458976,7,nm7453536,writer,\N,\N
tt29134690,7,nm14084830,writer,\N,\N
tt1604828,1,nm0894219,actor,\N,"[""Gert""]"
tt8576452,6,nm0297742,writer,creator,\N
tt30130696,3,nm12839866,self,\N,"[""Self""]"
tt10520282,6,nm0259897,writer,written by,\N
tt4085392,7,nm5801322,composer,\N,\N
tt13815838,2,nm6420188,writer,\N,\N
tt26545055,2,nm13051334,actress,\N,"[""Narmada""]"
tt14440488,7,nm12330168,writer,dialogue,\N
tt3243324,8,nm5084460,cinematographer,\N,\N
tt13325264,1,nm9821305,actor,\N,"[""Faldo""]"
tt11353632,7,nm1224445,composer,\N,\N
tt16755334,2,nm13228665,actress,\N,\N
