nconst,primaryName,primaryProfession,tconst
nm0000618,Isabella Rossellini,director,tt0106881
nm0000618,Isabella Rossellini,director,tt0090756
nm0000625,Fred Savage,director,tt0093779
nm0000625,Fred Savage,director,tt0295178
nm0000625,Fred Savage,director,tt0090768
nm0000626,John Sayles,director,tt0087004
nm0000626,John Sayles,director,tt0095082
nm0000626,John Sayles,director,tt0116905
nm0000631,Ridley Scott,director,tt0083658
nm0000631,Ridley Scott,director,tt0103074
nm0000631,Ridley Scott,director,tt3659388
nm0000635,Yahoo Serious,director,tt0096486
nm0000641,Gary Sinise,director,tt0105046
nm0000641,Gary Sinise,director,tt0109830
nm0000641,Gary Sinise,director,tt0112384
nm0000643,Tom Skerritt,director,tt0092099
nm0000643,Tom Skerritt,director,tt0098384
nm0000643,Tom Skerritt,director,tt0118884
nm0000649,Paul Sorvino,director,tt0099685
nm0000649,Paul Sorvino,director,tt0102803
nm0000649,Paul Sorvino,director,tt0113987
nm0000649,Paul Sorvino,director,tt0963194
nm0000653,Brent Spiner,director,tt1628841
nm0000653,Brent Spiner,director,tt0253754
nm0000653,Brent Spiner,director,tt0117731
nm0000653,Brent Spiner,director,tt0111280
nm0000654,Terence Stamp,director,tt0109045
nm0000654,Terence Stamp,director,tt0165854
nm0000654,Terence Stamp,director,tt1047011
nm0000654,Terence Stamp,director,tt1385826
nm0000655,Eric Stoltz,director,tt0110912
nm0000655,Eric Stoltz,director,tt0089560
nm0000655,Eric Stoltz,director,tt0094006
nm0000656,Madeleine Stowe,director,tt0114746
nm0000656,Madeleine Stowe,director,tt0104691
nm0000656,Madeleine Stowe,director,tt0144214
nm0000656,Madeleine Stowe,director,tt0108122
nm0000665,D.B. Sweeney,director,tt0104040
nm0000665,D.B. Sweeney,director,tt0106912
nm0000670,Lea Thompson,director,tt0088763
nm0000670,Lea Thompson,director,tt5039578
nm0000680,Casper Van Dien,director,tt0437086
nm0000680,Casper Van Dien,director,tt0120201
nm0000680,Casper Van Dien,director,tt0162661
nm0000682,Paul Verhoeven,director,tt0389557
nm0000682,Paul Verhoeven,director,tt0164052
nm0000682,Paul Verhoeven,director,tt0093870
nm0000689,Julie Warner,director,tt0430634
nm0000689,Julie Warner,director,tt0101745
nm0000689,Julie Warner,director,tt0114694
nm0000689,Julie Warner,director,tt0099582
nm0000691,John Waters,director,tt0126604
nm0000691,John Waters,director,tt0095270
nm0000691,John Waters,director,tt0387575
nm0000693,Peter Weller,director,tt0086856
nm0000693,Peter Weller,director,tt0100502
nm0000693,Peter Weller,director,tt0102511
nm0000693,Peter Weller,director,tt0093870
nm0000694,Wim Wenders,director,tt0087884
nm0000694,Wim Wenders,director,tt0107209
nm0000694,Wim Wenders,director,tt0101458
nm0000694,Wim Wenders,director,tt0093191
nm0000703,BD Wong,director,tt0107290
nm0000703,BD Wong,director,tt0369610
nm0000703,BD Wong,director,tt0120762
nm0000705,Robin Wright,director,tt0217869
nm0000705,Robin Wright,director,tt0109830
nm0000705,Robin Wright,director,tt0093779
nm0000707,Sean Young,director,tt1856101
nm0000707,Sean Young,director,tt0093640
nm0000707,Sean Young,director,tt0083658
nm0000707,Sean Young,director,tt0087182
nm0000709,Robert Zemeckis,director,tt0088763
nm0000709,Robert Zemeckis,director,tt0109830
nm0000709,Robert Zemeckis,director,tt0118884
nm0000712,Steve Cohen,director,tt0089218
nm0000714,Willie Aames,director,tt0084945
nm0000720,Jim Abrahams,director,tt0102059
nm0000720,Jim Abrahams,director,tt0088286
nm0000720,Jim Abrahams,director,tt0080339
nm0000725,Joey Lauren Adams,director,tt0142342
nm0000725,Joey Lauren Adams,director,tt0118842
nm0000725,Joey Lauren Adams,director,tt0106677
nm0000726,Maud Adams,director,tt0086034
nm0000727,Percy Adlon,director,tt0095801
nm0000739,Debbie Allen,director,tt0118607
nm0000739,Debbie Allen,director,tt0080716
nm0000749,Mädchen Amick,director,tt0105665
nm0000750,Jon Amiel,director,tt0137494
nm0000750,Jon Amiel,director,tt0112722
nm0000750,Jon Amiel,director,tt0298814
nm0000750,Jon Amiel,director,tt0100822
nm0000759,Paul Thomas Anderson,director,tt0118749
nm0000759,Paul Thomas Anderson,director,tt0469494
nm0000759,Paul Thomas Anderson,director,tt1791528
nm0000759,Paul Thomas Anderson,director,tt0272338
nm0000766,Theodoros Angelopoulos,director,tt0156794
nm0000767,Jean-Hugues Anglade,director,tt0110963
nm0000767,Jean-Hugues Anglade,director,tt0090095
nm0000767,Jean-Hugues Anglade,director,tt0100263
nm0000767,Jean-Hugues Anglade,director,tt0090563
nm0000770,David Anspaugh,director,tt0108002
nm0000770,David Anspaugh,director,tt4196848
nm0000770,David Anspaugh,director,tt0091217
nm0000776,Michael Apted,director,tt0095243
nm0000777,Gregg Araki,director,tt1523483
nm0000777,Gregg Araki,director,tt2238050
nm0000777,Gregg Araki,director,tt0370986
nm0000778,Alfonso Arau,director,tt0114887
nm0000778,Alfonso Arau,director,tt0092086
nm0000780,Denys Arcand,director,tt0338135
nm0000780,Denys Arcand,director,tt0097635
nm0000780,Denys Arcand,director,tt0090985
nm0000782,Asia Argento,director,tt0368774
nm0000782,Asia Argento,director,tt0418819
nm0000782,Asia Argento,director,tt0295701
nm0000786,George Armitage,director,tt0100143
nm0000786,George Armitage,director,tt0119229
nm0000788,Gillian Armstrong,director,tt0245046
nm0000788,Gillian Armstrong,director,tt0110367
nm0000798,Linden Ashby,director,tt0432021
nm0000798,Linden Ashby,director,tt0113855
nm0000798,Linden Ashby,director,tt0111756
nm0000801,Olivier Assayas,director,tt2452254
nm0000806,Bille August,director,tt0093713
nm0000806,Bille August,director,tt0107151
nm0000809,Daniel Auteuil,director,tt0091288
nm0000812,Roger Avary,director,tt0110265
nm0000812,Roger Avary,director,tt0105236
nm0000812,Roger Avary,director,tt0110912
nm0000814,John G. Avildsen,director,tt0097647
nm0000814,John G. Avildsen,director,tt0087538
nm0000814,John G. Avildsen,director,tt0100507
nm0000815,Mili Avital,director,tt0112817
nm0000815,Mili Avital,director,tt0120723
nm0000815,Mili Avital,director,tt0111282
nm0000816,Jon Avnet,director,tt0101921
nm0000816,Jon Avnet,director,tt0118055
nm0000816,Jon Avnet,director,tt0086200
nm0000824,John Badham,director,tt0113972
nm0000824,John Badham,director,tt0086567
nm0000824,John Badham,director,tt0091949
nm0000829,Stuart Baird,director,tt0381061
nm0000829,Stuart Baird,director,tt1074638
nm0000829,Stuart Baird,director,tt0253754
nm0000835,Ralph Bakshi,director,tt0085542
nm0000837,Bob Balaban,director,tt0280707
nm0000837,Bob Balaban,director,tt0310281
nm0000837,Bob Balaban,director,tt0379725
nm0000841,Michael Ballhaus,director,tt0106226
nm0000841,Michael Ballhaus,director,tt0103874
nm0000841,Michael Ballhaus,director,tt0217505
nm0000841,Michael Ballhaus,director,tt0099685
nm0000852,Jean-Marc Barr,director,tt1462411
nm0000853,Bruno Barreto,director,tt2217458
nm0000853,Bruno Barreto,director,tt0086871
nm0000867,Jason Bateman,director,tt2948356
nm0000867,Jason Bateman,director,tt2170299
nm0000870,Kathy Bates,director,tt0109642
nm0000870,Kathy Bates,director,tt0100157
nm0000870,Kathy Bates,director,tt0120338
nm0000870,Kathy Bates,director,tt0257360
nm0000871,Randall Batinkoff,director,tt0103893
nm0000871,Randall Batinkoff,director,tt0105327
nm0000871,Randall Batinkoff,director,tt0119874
nm0000876,Noah Baumbach,director,tt0367089
nm0000881,Michael Bay,director,tt2109248
nm0000881,Michael Bay,director,tt1055369
nm0000881,Michael Bay,director,tt0117500
nm0000887,Harold Becker,director,tt0107497
nm0000887,Harold Becker,director,tt0120749
nm0000887,Harold Becker,director,tt0098273
nm0000887,Harold Becker,director,tt0249478
nm0000893,Ed Begley Jr.,director,tt0310281
nm0000893,Ed Begley Jr.,director,tt0218839
nm0000893,Ed Begley Jr.,director,tt0910936
nm0000893,Ed Begley Jr.,director,tt1178663
nm0000894,Jean-Jacques Beineix,director,tt0090563
nm0000894,Jean-Jacques Beineix,director,tt0082269
nm0000905,Roberto Benigni,director,tt0102164
nm0000905,Roberto Benigni,director,tt0090967
nm0000907,Richard Benjamin,director,tt0118954
nm0000914,Robert Benton,director,tt0087921
nm0000915,Bruce Beresford,director,tt0080310
nm0000915,Bruce Beresford,director,tt0091081
nm0000915,Bruce Beresford,director,tt4196848
nm0000915,Bruce Beresford,director,tt0097239
nm0000921,Andrew Bergman,director,tt0110167
nm0000921,Andrew Bergman,director,tt0117765
nm0000921,Andrew Bergman,director,tt0089155
nm0000925,Steven Berkoff,director,tt1243957
nm0000925,Steven Berkoff,director,tt0086034
nm0000925,Steven Berkoff,director,tt0086960
nm0000932,Halle Berry,director,tt0348836
nm0000932,Halle Berry,director,tt0327554
nm0000932,Halle Berry,director,tt0285742
nm0000932,Halle Berry,director,tt0246460
nm0000934,Bernardo Bertolucci,director,tt0117737
nm0000940,Bigas Luna,director,tt0104545
nm0000940,Bigas Luna,director,tt0090644
nm0000941,Kathryn Bigelow,director,tt0887912
nm0000941,Kathryn Bigelow,director,tt0093605
nm0000941,Kathryn Bigelow,director,tt0114558
nm0000941,Kathryn Bigelow,director,tt1790885
nm0000944,Antonia Bird,director,tt0129332
nm0000944,Antonia Bird,director,tt0110889
nm0000945,Jane Birkin,director,tt0083908
nm0000948,Shane Black,director,tt3799694
nm0000948,Shane Black,director,tt1300854
nm0000948,Shane Black,director,tt0093773
nm0000952,Hart Bochner,director,tt0106364
nm0000952,Hart Bochner,director,tt0095016
nm0000952,Hart Bochner,director,tt0088206
nm0000956,Lisa Bonet,director,tt0092563
nm0000956,Lisa Bonet,director,tt0120660
nm0000958,John Boorman,director,tt0093209
nm0000958,John Boorman,director,tt0082348
nm0000958,John Boorman,director,tt0120706
nm0000962,Carole Bouquet,director,tt0281364
nm0000962,Carole Bouquet,director,tt0082398
nm0000962,Carole Bouquet,director,tt0098520
nm0000965,Danny Boyle,director,tt1542344
nm0000965,Danny Boyle,director,tt0111149
nm0000965,Danny Boyle,director,tt0289043
nm0000965,Danny Boyle,director,tt1010048
nm0000966,Lorraine Bracco,director,tt0104839
nm0000966,Lorraine Bracco,director,tt0099685
nm0000966,Lorraine Bracco,director,tt0112461
nm0000973,Benjamin Bratt,director,tt0212346
nm0000973,Benjamin Bratt,director,tt0181865
nm0000976,Martin Brest,director,tt0086960
nm0000976,Martin Brest,director,tt0095631
nm0000976,Martin Brest,director,tt0119643
nm0000976,Martin Brest,director,tt0105323
nm0000977,Beau Bridges,director,tt0097322
nm0000977,Beau Bridges,director,tt1033575
nm0000977,Beau Bridges,director,tt0467197
nm0000981,James Brolin,director,tt0181865
nm0000982,Josh Brolin,director,tt4154756
