tconst,titleType,primaryTitle,startYear,averageRating,genres
tt0083511,movie,48 Hrs.,1982,6.9,"Action,Comedy,Crime"
tt0083526,movie,The Aftermath,1982,4.4,"Action,Horror,Sci-Fi"
tt0083541,movie,Alley Cat,1984,5.3,Action
tt0083542,movie,Alone in the Dark,1982,6.0,"Horror,Thriller"
tt0083550,movie,Amityville II: The Possession,1982,5.6,Horror
tt0083559,movie,The Angel,1982,7.2,"Animation,Fantasy"
tt0083560,movie,Angel,1982,6.3,"Drama,Music"
tt0083564,movie,Annie,1982,6.6,"Comedy,Drama,Family"
tt0083598,movie,Author! Author!,1982,6.2,"Comedy,Drama,Family"
tt0083606,movie,Babe,1981,6.1,"Adult,Romance"
tt0083612,movie,The Prom,1982,6.2,Documentary
tt0083619,movie,Barbarosa,1982,6.4,"Comedy,Drama,Romance"
tt0083629,movie,The Beast Within,1982,5.6,Horror
tt0083630,movie,The Beastmaster,1982,6.2,"Action,Adventure,Fantasy"
tt0083637,movie,Boy Meets Girl,1982,6.1,"Biography,Drama"
tt0083641,movie,Best Friends,1982,5.5,"Comedy,Drama,Romance"
tt0083642,movie,The Best Little Whorehouse in Texas,1982,6.0,"Comedy,Musical"
tt0083647,movie,Better Late Than Never,1983,5.6,Comedy
tt0083658,movie,Blade Runner,1982,8.1,"Action,Drama,Sci-Fi"
tt0083670,movie,Boardinghouse,1982,3.8,"Comedy,Horror"
tt0083678,movie,The Border,1982,6.4,"Crime,Drama"
tt0083694,movie,Britannia Hospital,1982,6.2,"Comedy,Sci-Fi"
tt0083701,movie,Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982,7.0,"Adventure,Animation,Comedy"
tt0083717,movie,Cannery Row,1982,6.6,"Drama,Romance"
tt0083722,movie,Cat People,1982,6.2,"Fantasy,Horror,Thriller"
tt0083726,movie,The Challenge,1982,6.2,"Action,Drama"
tt0083732,movie,Private Life,1982,7.0,Drama
tt0083745,movie,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",1982,7.1,"Comedy,Drama"
tt0083767,movie,Creepshow,1982,6.8,"Comedy,Fantasy,Horror"
tt0083791,movie,The Dark Crystal,1982,7.1,"Adventure,Family,Fantasy"
tt0083798,movie,Dead Men Don't Wear Plaid,1982,6.8,"Comedy,Crime,Mystery"
tt0083806,movie,Deathtrap,1982,7.0,"Comedy,Crime,Mystery"
tt0083833,movie,Diner,1982,7.1,"Comedy,Drama"
tt0083842,movie,Domino,1982,7.0,Drama
tt0083866,movie,E.T. the Extra-Terrestrial,1982,7.9,"Adventure,Family,Sci-Fi"
tt0083885,movie,Endangered Species,1982,5.8,"Drama,Mystery,Thriller"
tt0083891,movie,Enigma,1982,5.9,"Drama,Thriller"
tt0083900,movie,The Escape Artist,1982,6.1,"Comedy,Crime,Drama"
tt0083906,movie,Eureka,1983,5.9,"Drama,Thriller"
tt0083907,movie,The Evil Dead,1981,7.4,Horror
tt0083908,movie,Evil Under the Sun,1982,7.0,"Crime,Drama,Mystery"
tt0083911,movie,Experience Preferred... But Not Essential,1982,7.0,Drama
tt0083922,movie,Fanny and Alexander,1982,8.1,Drama
tt0083929,movie,Fast Times at Ridgemont High,1982,7.1,"Comedy,Drama"
tt0083936,movie,Fighting Back,1982,6.0,"Action,Crime,Drama"
tt0083941,movie,The Final Option,1982,6.4,"Action,Thriller"
tt0083942,movie,The Wind,1982,6.7,Drama
tt0083943,movie,Firefox,1982,5.9,"Action,Adventure,Thriller"
tt0083944,movie,First Blood,1982,7.7,"Action,Adventure,Thriller"
tt0083947,movie,Five Days One Summer,1982,6.1,Drama
tt0083960,movie,Forced Vengeance,1982,5.5,"Action,Adventure,Crime"
tt0083967,movie,Frances,1982,7.2,"Biography,Drama,Romance"
tt0083987,movie,Gandhi,1982,8.0,"Biography,Drama,History"
tt0084021,movie,Grease 2,1982,4.5,"Comedy,Music,Musical"
tt0084042,movie,An Egyptian Story,1982,7.3,Drama
tt0084049,movie,Hanky Panky,1982,5.6,"Action,Comedy,Crime"
tt0084058,movie,Heat and Dust,1983,6.5,"Drama,Romance"
tt0084060,movie,Heidi's Song,1982,6.2,"Adventure,Animation,Drama"
tt0084065,movie,Hero,1982,5.7,"Adventure,Drama,Fantasy"
tt0084076,movie,Heaven and Earth,1983,8.1,Documentary
tt0084078,movie,Hit and Run,1982,5.6,Mystery
tt0084084,movie,Homework,1982,3.4,"Comedy,Drama"
tt0084088,movie,Honkytonk Man,1982,6.6,"Comedy,Drama,Music"
tt0084109,movie,I Ought to Be in Pictures,1982,6.1,"Comedy,Drama"
tt0084112,movie,"I, the Jury",1982,5.9,"Crime,Drama,Mystery"
tt0084117,movie,If You Could See What I Hear,1982,6.7,"Biography,Comedy,Drama"
tt0084132,movie,Inchon,1981,2.8,"Drama,History,War"
tt0084171,movie,Jekyll and Hyde... Together Again,1982,6.0,"Comedy,Music,Sci-Fi"
tt0084173,movie,Jinxed!,1982,4.7,Comedy
tt0084178,movie,The Archer,1982,6.3,"Drama,Thriller"
tt0084191,movie,Kamikaze 89,1982,5.8,"Sci-Fi,Thriller"
tt0084210,movie,Kiss Me Goodbye,1982,5.9,"Comedy,Fantasy,Romance"
tt0084234,movie,The Last American Virgin,1982,6.3,"Comedy,Drama,Romance"
tt0084237,movie,The Last Unicorn,1982,7.3,"Adventure,Animation,Drama"
tt0084256,movie,Little Dragon Maiden,1983,5.9,"Action,Fantasy,Romance"
tt0084259,movie,A Little Sex,1982,4.9,"Comedy,Romance"
tt0084264,movie,Lonely Hearts,1982,6.8,"Comedy,Drama,Romance"
tt0084268,movie,Lookin' to Get Out,1982,5.1,Comedy
tt0084273,movie,Love Child,1982,5.7,"Crime,Drama,Romance"
tt0084293,movie,Making Love,1982,6.9,Drama
tt0084296,movie,The Man from Snowy River,1982,7.2,"Adventure,Drama,Romance"
tt0084316,movie,Megaforce,1982,3.6,"Action,Sci-Fi"
tt0084329,movie,A Midsummer Night's Sex Comedy,1982,6.6,Comedy
tt0084335,movie,Missing,1982,7.7,"Biography,Drama,History"
tt0084338,movie,The Mission,1983,7.0,Drama
tt0084340,movie,Les Misérables,1982,7.3,Drama
tt0084351,movie,Monsignor,1982,5.1,"Crime,Drama,War"
tt0084352,movie,Monty Python Live at the Hollywood Bowl,1982,7.8,"Comedy,Documentary,Musical"
tt0084370,movie,My Favorite Year,1982,7.3,"Comedy,Drama"
tt0084386,movie,It Takes Two,1982,6.0,Comedy
tt0084395,movie,Class Reunion,1982,4.6,"Comedy,Horror"
tt0084408,movie,Next of Kin,1982,6.2,"Horror,Mystery"
tt0084412,movie,Night Shift,1982,6.5,Comedy
tt0084425,movie,Nutcracker,1982,4.3,"Drama,Music"
tt0084434,movie,An Officer and a Gentleman,1982,7.0,"Drama,Romance"
